2020-08-31T20:20:06.5358779+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2020-08-31T20:20:06.6755923+05:30  [INF] Hosting environment: "Development" (c3307c92)
2020-08-31T20:20:06.6777075+05:30  [INF] Content root path: "C:\Brahmasmi\Brahmasmi.API\Brahmasmi.API" (b5d60022)
2020-08-31T20:20:06.8843863+05:30 80000067-0002-fd00-b63f-84710c7967bb [INF] 88888 (f16695d2)
2020-08-31T20:20:09.2973223+05:30 80000067-0002-fd00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T20:20:26.2527927+05:30 80000069-0002-fd00-b63f-84710c7967bb [INF] 99999 (68a195f6)
2020-08-31T20:20:26.2719723+05:30 80000069-0002-fd00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T20:25:07.5732583+05:30 80000003-0001-fd00-b63f-84710c7967bb [INF] 99999 (68a195f6)
2020-08-31T20:25:07.5829761+05:30 80000003-0001-fd00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T20:33:23.2338602+05:30 80000005-0001-fd00-b63f-84710c7967bb [INF] 99999 (68a195f6)
2020-08-31T20:33:23.2615462+05:30 80000005-0001-fd00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T20:35:51.3220263+05:30 80000040-0003-fe00-b63f-84710c7967bb [INF] 99999 (68a195f6)
2020-08-31T20:35:51.3278722+05:30 80000040-0003-fe00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T20:40:50.5518970+05:30 80000042-0000-fe00-b63f-84710c7967bb [INF] 99999 (68a195f6)
2020-08-31T20:40:50.5801310+05:30 80000042-0000-fe00-b63f-84710c7967bb [INF] end (b0c485d7)
2020-08-31T21:01:42.8385824+05:30  [INF] Application is shutting down... (90f52c38)
